Channel Name,Plan,Price
STAR GOLD THRILLS,Base Pack,Rs 199
Star Sports 2 Kannada,Base Pack,Rs 199
STAR UTSAV FTA,Base Pack,Rs 199
Star Utsav Movies FTA,Base Pack,Rs 199
SUN BANGLA,Base Pack,Rs 199
SUN MARATHI,Base Pack,Rs 199
Sun Neo,Base Pack,Rs 199
Super Hungama,Base Pack,Rs 199
Times Now Navbharat SD,Base Pack,Rs 199
TV 9 TELUGU,Base Pack,Rs 199
TV9 BHARATVARSH,Base Pack,Rs 199
ZEE 24 KALAK,Base Pack,Rs 199
Zee 24 Taas,Base Pack,Rs 199
ZEE ANMOL,Base Pack,Rs 199
ZEE ANMOL CINEMA,Base Pack,Rs 199
ZEE BHARAT,Base Pack,Rs 199
ZEE BIHAR JHARKHAND,Base Pack,Rs 199
ZEE BOLLYWOOD,Base Pack,Rs 199
ZEE BUSINESS,Base Pack,Rs 199
Zee Delhi NCR Haryana,Base Pack,Rs 199
ZEE MP CHHATTISGARH,Base Pack,Rs 199
ZEE NEWS,Base Pack,Rs 199
Zee Rajasthan News,Base Pack,Rs 199
ZEE UP & UK,Base Pack,Rs 199
ZOOMTOONS,Base Pack,Rs 199
RHYMES,Base Pack,Rs 199
KIDS MOVIES,Base Pack,Rs 199
BHOJPURI SONGS,Base Pack,Rs 199
Shemaroo TV,Base Pack,Rs 199
BOLLYWOOD HITZ,Base Pack,Rs 199
FILMI GAANE,Base Pack,Rs 199
IBAADAT TV,Base Pack,Rs 199
Shemaroo Bhakti,Base Pack,Rs 199
