Channel Name,Plan,Price
EUROSPORT,All-in-One Plan,Rs 299
FILMI GAANE,All-in-One Plan,Rs 299
GOLDMINES,All-in-One Plan,Rs 299
Goldmines Bollywood,All-in-One Plan,Rs 299
Goldmines Movies,All-in-One Plan,Rs 299
Green Chillies TV,All-in-One Plan,Rs 299
HARE KRSNA,All-in-One Plan,Rs 299
HUNGAMA TV,All-in-One Plan,Rs 299
IBAADAT TV,All-in-One Plan,Rs 299
INDIA TV,All-in-One Plan,Rs 299
Investigation Discovery,All-in-One Plan,Rs 299
JAI MAHARASHTRA,All-in-One Plan,Rs 299
KIDS MOVIES,All-in-One Plan,Rs 299
LIVE KHAJRANA DARSHAN,All-in-One Plan,Rs 299
LIVE MAHAKAL DARSHAN,All-in-One Plan,Rs 299
LIVE OMKARESHWAR DARSHAN,All-in-One Plan,Rs 299
MIRROR NOW,All-in-One Plan,Rs 299
MNX,All-in-One Plan,Rs 299
MOVIES NOW,All-in-One Plan,Rs 299
MTV,All-in-One Plan,Rs 299
MUSIC INDIAN TV,All-in-One Plan,Rs 299
NAT GEO WILD,All-in-One Plan,Rs 299
NATIONAL GEOGRAPHIC,All-in-One Plan,Rs 299
NDTV Marathi,All-in-One Plan,Rs 299
NEWS 24,All-in-One Plan,Rs 299
NEWS NATION,All-in-One Plan,Rs 299
NEWS18 LOKMAT,All-in-One Plan,Rs 299
NICK,All-in-One Plan,Rs 299
NICK JR,All-in-One Plan,Rs 299
NXT TARANG,All-in-One Plan,Rs 299
POGO,All-in-One Plan,Rs 299
PRAVAH PICTURE,All-in-One Plan,Rs 299
R. KANNADA,All-in-One Plan,Rs 299
RED BACHPAN,All-in-One Plan,Rs 299
RED BALLE BALLE,All-in-One Plan,Rs 299
RED BANGLA,All-in-One Plan,Rs 299
RED BEATS,All-in-One Plan,Rs 299
RED GAZAL,All-in-One Plan,Rs 299
RED GOLD,All-in-One Plan,Rs 299
RED GUJRATI,All-in-One Plan,Rs 299
RED GURUWANI,All-in-One Plan,Rs 299
RED HOME,All-in-One Plan,Rs 299
RED JYOTIR,All-in-One Plan,Rs 299
RED KAWALI,All-in-One Plan,Rs 299
RED KIDO,All-in-One Plan,Rs 299
RED LEGEND,All-in-One Plan,Rs 299
RED LIFE STYLE,All-in-One Plan,Rs 299
RED MARATHI,All-in-One Plan,Rs 299
RED MUSIC,All-in-One Plan,Rs 299
RED PUNJABI,All-in-One Plan,Rs 299
RED RAGINI,All-in-One Plan,Rs 299
RED SPORTS,All-in-One Plan,Rs 299
RED URDU,All-in-One Plan,Rs 299
REPUBLIC BANGLA,All-in-One Plan,Rs 299
REPUBLIC BHARAT,All-in-One Plan,Rs 299
REPUBLIC TV,All-in-One Plan,Rs 299
RHYMES,All-in-One Plan,Rs 299
ROMEDY NOW,All-in-One Plan,Rs 299
RUSSIA TODAY,All-in-One Plan,Rs 299
SALAAM TV,All-in-One Plan,Rs 299
SANSAD TV 1,All-in-One Plan,Rs 299
Sansad TV 1 HD,All-in-One Plan,Rs 299
SANSAD TV 2,All-in-One Plan,Rs 299
SANSAD TV 2 HD,All-in-One Plan,Rs 299
SANSKAR,All-in-One Plan,Rs 299
SHEMAROO UMANG,All-in-One Plan,Rs 299
Shemaroo Bhakti,All-in-One Plan,Rs 299
Shemaroo TV,All-in-One Plan,Rs 299
SHIRDI DARSHAN,All-in-One Plan,Rs 299
SONIC,All-in-One Plan,Rs 299
SONY BBC EARTH,All-in-One Plan,Rs 299
SONY ENTERTAINMENT TELEVISION,All-in-One Plan,Rs 299
SONY MARATHI,All-in-One Plan,Rs 299
SONY MAX,All-in-One Plan,Rs 299
SONY MAX 1,All-in-One Plan,Rs 299
SONY MAX 2,All-in-One Plan,Rs 299
SONY PIX,All-in-One Plan,Rs 299
SONY SAB,All-in-One Plan,Rs 299
SONY SPORTS TEN 1,All-in-One Plan,Rs 299
SONY SPORTS TEN 2,All-in-One Plan,Rs 299
SONY SPORTS TEN 3,All-in-One Plan,Rs 299
SONY SPORTS TEN 5,All-in-One Plan,Rs 299
SONY YAY!,All-in-One Plan,Rs 299
Srisailam Darshan,All-in-One Plan,Rs 299
STAR BHARAT,All-in-One Plan,Rs 299
STAR GOLD,All-in-One Plan,Rs 299
STAR GOLD 2,All-in-One Plan,Rs 299
STAR GOLD ROMANCE,All-in-One Plan,Rs 299
STAR GOLD SELECT,All-in-One Plan,Rs 299
STAR GOLD THRILLS,All-in-One Plan,Rs 299
STAR MOVIES,All-in-One Plan,Rs 299
STAR MOVIES SELECT,All-in-One Plan,Rs 299
STAR PLUS,All-in-One Plan,Rs 299
STAR PRAVAH,All-in-One Plan,Rs 299
STAR SPORTS 1,All-in-One Plan,Rs 299
STAR SPORTS 1 HINDI,All-in-One Plan,Rs 299
STAR SPORTS 2,All-in-One Plan,Rs 299
Star Sports 2 Hindi,All-in-One Plan,Rs 299
STAR SPORTS 3,All-in-One Plan,Rs 299
STAR SPORTS KHEL,All-in-One Plan,Rs 299
STAR SPORTS SELECT 1,All-in-One Plan,Rs 299
STAR SPORTS SELECT 2,All-in-One Plan,Rs 299
SUN BANGLA,All-in-One Plan,Rs 299
SUN MARATHI,All-in-One Plan,Rs 299
Sun Neo,All-in-One Plan,Rs 299
Super Hungama,All-in-One Plan,Rs 299
The History Channel,All-in-One Plan,Rs 299
TIMES NOW,All-in-One Plan,Rs 299
Times Now Navbharat SD,All-in-One Plan,Rs 299
TLC,All-in-One Plan,Rs 299
TOONS,All-in-One Plan,Rs 299
TV 9 TELUGU,All-in-One Plan,Rs 299
TV9 BHARATVARSH,All-in-One Plan,Rs 299
WION,All-in-One Plan,Rs 299
ZEE 24 GHANTA,All-in-One Plan,Rs 299
ZEE 24 KALAK,All-in-One Plan,Rs 299
Zee 24 Taas,All-in-One Plan,Rs 299
ZEE ACTION,All-in-One Plan,Rs 299
ZEE ANMOL,All-in-One Plan,Rs 299
ZEE ANMOL CINEMA,All-in-One Plan,Rs 299
ZEE ANMOL CINEMA 2,All-in-One Plan,Rs 299
ZEE BHARAT,All-in-One Plan,Rs 299
ZEE BIHAR JHARKHAND,All-in-One Plan,Rs 299
Zee Biskope,All-in-One Plan,Rs 299
ZEE BOLLYWOOD,All-in-One Plan,Rs 299
ZEE BUSINESS,All-in-One Plan,Rs 299
ZEE CAFÉ,All-in-One Plan,Rs 299
ZEE CINEMA,All-in-One Plan,Rs 299
ZEE CLASSIC,All-in-One Plan,Rs 299
Zee Delhi NCR Haryana,All-in-One Plan,Rs 299
ZEE MARATHI,All-in-One Plan,Rs 299
ZEE MP CHHATTISGARH,All-in-One Plan,Rs 299
ZEE NEWS,All-in-One Plan,Rs 299
ZEE PUNJAB HARYANA HIMACHAL,All-in-One Plan,Rs 299
Zee Rajasthan News,All-in-One Plan,Rs 299
ZEE TALKIES,All-in-One Plan,Rs 299
ZEE TV,All-in-One Plan,Rs 299
ZEE UP & UK,All-in-One Plan,Rs 299
ZEE YUVA,All-in-One Plan,Rs 299
Zee Zest,All-in-One Plan,Rs 299
ZING,All-in-One Plan,Rs 299
ZOOM,All-in-One Plan,Rs 299
